date,PCODE,vim,viq
21/3/2025,MY13,0.8350336,100.71912
1/10/2024,MY15,0.8251707,100.31077
11/10/2024,MY15,0.82419175,100.25109
21/10/2024,MY15,0.82288456,100.156784
1/11/2024,MY15,0.8212212,100.02729
11/11/2024,MY15,0.81930166,99.879875
21/11/2024,MY15,0.81714493,99.719635
1/12/2024,MY15,0.8149846,99.57535
11/12/2024,MY15,0.8125997,99.42389
21/12/2024,MY15,0.81053245,99.334785
1/1/2025,MY15,0.8077468,99.22505
11/1/2025,MY15,0.8056514,99.21759
21/1/2025,MY15,0.8037916,99.229866
1/2/2025,MY15,0.8020906,99.251526
11/2/2025,MY15,0.80111176,99.31606
21/2/2025,MY15,0.80083627,99.40262
1/3/2025,MY15,0.801188,99.5021
11/3/2025,MY15,0.8023981,99.63109
21/3/2025,MY15,0.80452037,99.77443
1/10/2024,MY17,0.77536494,100.90237
11/10/2024,MY17,0.7747311,100.62125
21/10/2024,MY17,0.77440274,100.42418
1/11/2024,MY17,0.77407086,100.307396
11/11/2024,MY17,0.772333,100.12342
21/11/2024,MY17,0.76931494,99.89838
1/12/2024,MY17,0.765587,99.714485
11/12/2024,MY17,0.7615771,99.58642
21/12/2024,MY17,0.7575984,99.548706
1/1/2025,MY17,0.75386024,99.68896
11/1/2025,MY17,0.7511677,99.96609
21/1/2025,MY17,0.74969804,100.31537
1/2/2025,MY17,0.74925035,100.67819
11/2/2025,MY17,0.7499393,100.97658
21/2/2025,MY17,0.7512413,101.13985
1/3/2025,MY17,0.75354487,101.23768
11/3/2025,MY17,0.75690156,101.257774
21/3/2025,MY17,0.760833,101.15914
